Code,GEO/TIME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
DE93,DE93 - Lüneburg,1467422,1491276,1512421,1535496,1560496,1581074,1602126,1616321,1630776,1645896,1660653,1672467,1683438,1692192,1698434,1702971,1704133,1702938,1701132,1696643,1693654,1669999,1667127,1667332,1670199,1677715,1699969,1703945,1706464,1710914
DE94,DE94 - Weser-Ems,2169774,2195439,2226304,2263184,2292247,2325150,2359691,2374243,2390344,2401523,2415714,2426816,2442210,2455036,2465229,2472394,2475459,2477718,2480393,2477771,2476001,2435261,2437727,2442205,2446345,2460857,2496176,2506155,2516457,2525333
DEA ,DEA - Nordrhein-Westfalen,17103584,17349613,17509873,17679174,17759313,17816079,17893045,17947715,17974487,17975516,17999800,18009865,18052092,18076355,18079686,18075352,18058105,18028745,17996621,17933064,17872763,17545192,17544938,17554329,17571856,17638098,17865516,17890100,17912134,17932651
DEA1,DEA1 - Düsseldorf,5167713,5220445,5253128,5293259,5289018,5287352,5290584,5290935,5284861,5269171,5264468,5254317,5255328,5249280,5245132,5237855,5226648,5217129,5208288,5191042,5172839,5081231,5077103,5081061,5088748,5108290,5173623,5190790,5198820,5202321
DEA2,DEA2 - Köln,3963108,4025321,4068166,4113462,4141571,4162040,4188583,4216305,4235903,4249413,4263675,4281548,4309953,4331419,4350368,4363797,4378622,4384669,4391062,4386271,4383044,4282911,4299064,4315912,4333015,4361724,4422371,4439416,4454228,4468904
DEA3,DEA3 - Münster,2437782,2476464,2504851,2531918,2546965,2558277,2573490,2586577,2595115,2600471,2608779,2612301,2620240,2625637,2625745,2624489,2622623,2619372,2614361,2605365,2597636,2568358,2572221,2572390,2574148,2580664,2614229,2619376,2621153,2623619
DEA4,DEA4 - Detmold,1849741,1895396,1924838,1953995,1975129,1991074,2012908,2026660,2035907,2041343,2048620,2055795,2063244,2069290,2071803,2072488,2069758,2065413,2059198,2050638,2043212,2031337,2027126,2025415,2024392,2029648,2057996,2054205,2054343,2055310
DEA5,DEA5 - Arnsberg,3685240,3731987,3758890,3786540,3806630,3817336,3827480,3827238,3822701,3815118,3814258,3805904,3803327,3800729,3786638,3776723,3760454,3742162,3723712,3699748,3676032,3581355,3569424,3559551,3551553,3557772,3597297,3586313,3583590,3582497
DEB ,DEB - Rheinland-Pfalz,3701657,3763534,3821258,3880951,3925858,3951573,3977919,4000567,4017828,4024969,4030773,4034557,4049066,4057727,4058682,4061105,4058843,4052860,4045643,4028351,4012675,3994185,3990033,3990278,3994366,4011582,4052803,4066053,4073679,4084844
DEB1,DEB1 - Koblenz,1377003,1402068,1422594,1445016,1463553,1476996,1489931,1499680,1507807,1512283,1516237,1519561,1524695,1527611,1527919,1527507,1521494,1513939,1507919,1499457,1490711,1486160,1480166,1476237,1474378,1477202,1488308,1492187,1493055,1495885
DEB2,DEB2 - Trier,477962,484041,489051,494291,498972,502475,505375,507667,509134,510507,511548,511754,512990,513702,513755,513861,513363,515819,515972,515322,513794,518554,518370,518289,519136,521863,532715,528728,529597,531007
DEB3,DEB3 - Rheinhessen-Pfalz,1846692,1877425,1909613,1941644,1963333,1972102,1982613,1993220,2000887,2002179,2002988,2003242,2011381,2016414,2017008,2019737,2023986,2023102,2021752,2013572,2008170,1989471,1991497,1995752,2000852,2012517,2031780,2045138,2051027,2057952
DEC ,DEC - Saarland,1064907,1072960,1076882,1084015,1084517,1084201,1084370,1084184,1080790,1074223,1071501,1068703,1066470,1064988,1061376,1056417,1050293,1043167,1036598,1030324,1022585,1001879,997855,994287,990718,989035,995597,996651,994187,990509
DEC0,DEC0 - Saarland,1064907,1072960,1076882,1084015,1084517,1084201,1084370,1084184,1080790,1074223,1071501,1068703,1066470,1064988,1061376,1056417,1050293,1043167,1036598,1030324,1022585,1001879,997855,994287,990718,989035,995597,996651,994187,990509
DED ,DED - Sachsen,4900675,4764273,4678911,4640979,4607643,4584345,4566603,4545702,4522412,4489415,4459686,4425581,4384192,4349059,4321437,4296284,4273754,4249774,4220200,4192801,4168732,4066256,4054182,4050204,4046385,4055274,4084851,4081783,4081308,4077937
DED2,DED2 - Dresden,,,,,,1763956,1761287,1755467,1747721,1735992,1724703,1712562,1695745,1683138,1674343,1667676,1662482,1657114,1646716,1638111,1631486,1594568,1591710,1591320,1590927,1592765,1602754,1600155,1598573,1598199
DED4,DED4 - Chemnitz,,,,,,,,,,,,,,,,,,,,,,1505254,1491442,1480210,1468954,1463341,1465612,1454144,1444953,1436445
